id;name;type;end_date;created_at;modified_at;done;description;attachment;attachment_content_type;picture;picture_content_type;user_id
1;withdrawal Avon rich;TYPE3;2020-12-14;2020-12-14T02:28:58;2020-12-14T14:08:20;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
2;payment Grocery Baby;TYPE2;2020-12-14;2020-12-14T11:05:55;2020-12-14T14:21:57;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
3;back-end;TYPE2;2020-12-13;2020-12-14T06:42:11;2020-12-13T22:02:47;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
4;transmit Designer Pakistan;TYPE1;2020-12-13;2020-12-13T20:07:04;2020-12-14T17:24:32;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
5;hacking;TYPE3;2020-12-14;2020-12-14T01:11:38;2020-12-13T22:43:28;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
6;back-end backing;TYPE3;2020-12-13;2020-12-14T00:39:15;2020-12-14T17:45:27;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
7;Tasty Handmade Orchestrator;TYPE2;2020-12-14;2020-12-14T12:21:38;2020-12-14T00:30:28;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
8;TCP ADP Executive;TYPE2;2020-12-13;2020-12-14T11:35:08;2020-12-13T23:21:08;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
9;Valley Chips methodical;TYPE3;2020-12-14;2020-12-13T21:25:48;2020-12-14T02:36:58;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
10;Expanded;TYPE1;2020-12-14;2020-12-14T02:19:28;2020-12-14T11:36:10;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
